The Newark Academy	['secondary school', 'academy school']	The Newark Academy (formerly The Grove School) is a mixed secondary school in Balderton, Nottinghamshire, England.
Khasban	['village']	Khasban (Persian: خسبان‎, also Romanized as Khasbān) is a village in Miyan Taleqan Rural District, in the Central District of Taleqan County, Alborz Province, Iran.
Ruth Hayman	['lawyer']	Ruth Hayman (1913 - 1981) was a lawyer and anti-apartheid campaigner.
Fada N'gourma	['city']	Fada N'Gourma, also written Fada-Ngourma, or Noungu is a city and an important market town in eastern Burkina Faso, lying 219 kilometres (136 mi) east of Ouagadougou, in the Gourmantché area.
Toongabbie Creek	['river']	Toongabbie Creek, an urban watercourse that is part of the Parramatta River catchment, is located in Greater Western Sydney, New South Wales, Australia.
Pishtane	['village of Bulgaria']	Pishtane (Bulgarian: Пищане) is a small village in Slivnitsa Municipality, Sofia Province, located in western Bulgaria 14 km south-west of the town of Slivnitsa.
Alexandre de Marenches	['politician', 'military officer']	Count Alexandre de Marenches (June 7, 1921 in Paris – June 2, 1995) was a French military officer, former director of the SDECE French external intelligence services (6 November 1970 – 12 June 1981), special advisor to U.
Jasper station	['railway station']	Jasper station is on the Canadian National Railway mainline in Jasper, Alberta.
Nakoku	['historical country']	Nakoku (奴国, Nakoku, Na-no-Kuni) was a state which was located in and around modern-day Fukuoka City, on the Japanese island of Kyūshū, from the 1st to early 3rd centuries.
Airway obstruction	['disease']	Airway obstruction is a blockage of respiration in the airway.
Mordellistena pullata	['taxon']	Mordellistena pullata is a species of beetle in the genus Mordellistena of the family Mordellidae.
Sidney Domville	['artistic gymnast', 'gymnast']	Sidney Domville (1886 – 23 December 1954) was a British gymnast.
Czesławowo	['village of Poland']	Czesławowo [t͡ʂɛswaˈvɔvɔ] is a village in the administrative district of Gmina Słupca, within Słupca County, Greater Poland Voivodeship, in west-central Poland.
Bamberger Marionettentheater	['puppet theatre']	Bamberger Marionettentheater is a puppet theatre in Bamberg, Bavaria, Germany.
HSwMS Visby (K31)	['corvette']	HSwMS Visby (K31) is the lead ship of the Visby-class corvettes.
Eva Hesse	['painter', 'sculptor']	Eva Hesse (January 11, 1936 – May 29, 1970) was a German-born American sculptor known for her pioneering work in materials such as latex, fiberglass, and plastics.
1991 European Karate Championships	['European Karate Championships']	The 1991 European Karate Championships, the 26th edition, was held in the sports complex of the National Indoor Arena in Hannover, Germany from May 2 to 4, 1991.
Urethra	['anatomical structure']	In anatomy, the  urethra (from Greek οὐρήθρα – ourḗthrā) is a tube that connects the urinary bladder to the urinary meatus for the removal of urine from the body of both females and males.
